00001740-a	able
00001740-n	entity
00001740-r	a_cappella
00001740-v	breathe,take_a_breath,respire,suspire
00001837-r	AD,A.D.,anno_Domini
00001930-n	physical_entity
00001981-r	CE,C.E.,Common_Era
00002098-a	unable
00002137-n	abstraction,abstract_entity
00002142-r	BC,B.C.,before_Christ
00002296-r	BCE,B.C.E.
00002312-a	abaxial,dorsal
00002325-v	respire
00002436-r	horseback,ahorse,ahorseback
00002452-n	thing
00002527-a	adaxial,ventral
00002573-v	respire
00002621-r	barely,hardly,just,scarcely,scarce
00002684-n	object,physical_object
00002724-v	choke
00002730-a	acroscopic
00002843-a	basiscopic
00002942-v	hyperventilate
00002950-r	just
00002956-a	abducent,abducting
00003093-r	hardly,scarcely
00003131-a	adducent,adductive,adducting
00003133-v	hyperventilate
00003294-r	anisotropically
00003316-v	aspirate
00003356-a	nascent
00003380-r	annoyingly
00003431-v	burp,bubble,belch,eruct
00003483-r	basically,fundamentally,essentially
00003553-a	emergent,emerging
00003553-n	whole,unit
00003662-v	force_out
00003700-a	dissilient
00003771-r	blessedly
00003826-v	hiccup,hiccough
00003829-a	parturient
00003846-r	boiling
00003925-r	enviably
00003939-a	dying
00003993-n	congener
00004032-v	sigh,suspire
00004038-r	pointedly
00004171-a	moribund
00004184-r	negatively
00004227-v	exhale,expire,breathe_out
00004258-n	living_thing,animate_thing
00004288-r	negatively
00004296-a	last
00004394-r	kindly
00004413-a	abridged
00004475-n	organism,being
00004492-v	hold
00004567-r	unkindly
00004605-v	exhale,give_forth,emanate
00004615-a	cut,shortened
00004722-r	merely,simply,just,only,but
00004723-a	half-length
00004817-a	potted
00004819-v	sneeze
00004967-r	simply
00004980-a	unabridged
00005041-v	inhale,inspire,breathe_in
00005055-r	plainly,simply
00005107-a	full-length,uncut
00005205-a	absolute
00005210-r	anciently
00005343-r	arguably
00005453-r	unabashedly
00005473-a	direct
00005526-v	pant,puff,gasp,heave
00005567-r	automatically
00005599-a	implicit,unquestioning
00005674-r	alarmingly
00005718-a	infinite
00005779-r	vastly,immensely
00005787-n	benthos
00005815-v	cough
00005839-a	living
00005930-n	dwarf
00006024-n	heterotroph
00006032-a	relative,comparative
00006034-r	grossly
00006100-v	hack,whoop
00006105-r	largely,mostly,for_the_most_part
00006150-n	parent
00006238-v	expectorate,cough_up,cough_out,spit_up,spit_out
00006245-a	relational
00006259-r	significantly
00006269-n	life
00006336-a	absorbent,absorptive
00006400-n	biont
00006423-r	insignificantly
00006484-n	cell
00006523-v	snort
00006610-r	appreciably
00006697-v	wheeze
00006729-r	ultrasonically
00006777-a	absorbefacient,sorbefacient
00006802-v	puff,huff,chuff
00006858-r	smartly,modishly,sprucely
00006885-a	assimilating,assimilative,assimilatory
00007012-v	blow
00007015-r	approximately,about,close_to,just_about,some,roughly,more_or_less,around,or_so
00007096-a	hygroscopic
00007193-v	insufflate
00007208-a	receptive
00007328-v	yawn
00007331-a	shock-absorbent
00007347-n	causal_agent,cause,causal_agency
00007488-r	absolutely
00007516-a	spongy,spongelike
00007549-v	sniff,sniffle
00007697-a	thirsty
00007703-r	partially,partly,part
00007739-v	blink,wink,nictitate,nictate
00007813-a	nonabsorbent,nonabsorptive
00007846-n	person,individual,someone,somebody,mortal,soul
00007884-r	half
00007990-a	repellent,resistant
00008007-r	wholly,entirely,completely,totally,all,altogether,whole
00008055-v	palpebrate
00008195-v	bat,flutter
00008206-a	adsorbent,adsorptive,surface-assimilative
00008299-v	wink
00008435-v	wink,blink,blink_away
00008443-a	chemisorptive,chemosorptive
00008595-a	nonadsorbent,nonadsorptive
00008600-r	entirely,exclusively,solely,alone,only
00008602-v	squint,squinch
00008734-a	absorbable
00008799-v	squint
00008877-a	adsorbable,adsorbate
00008977-v	wince
00008997-r	absolutely,perfectly,utterly,dead
00009046-a	abstemious
00009147-v	shed,molt,exuviate,moult,slough
00009346-a	abstinent,abstentious
00009373-r	clean,plumb,plum
00009492-v	desquamate,peel_off
00009541-r	plumb,plum
00009618-a	ascetic,ascetical,austere,spartan
00009631-v	twitch,jerk
00009650-r	perfectly
00009859-r	pat
00009884-v	fibrillate
00009966-r	please
00009978-a	gluttonous
00010047-r	imperfectly,amiss
00010054-v	move_involuntarily,move_reflexively
00010241-v	act_involuntarily,act_reflexively
00010276-r	amiss
00010385-a	crapulous
00010435-v	act,behave,do
00010466-r	fully,to_the_full,full
00010537-a	crapulent,crapulous
00010726-a	edacious,esurient,rapacious,ravening,ravenous,voracious,wolfish
